index	src	tgt	transforms.Combined
1051	( * args ** kwargs ) : decorator for bot commentary def decorate ( func name = none ) : setattr ( func jabberbot content command true ) setattr ( func jabberbot command name name or func . name ) return func if len ( args ) : return decorate ( args [ 0 ] ** kwargs ) else : return lambda func : decorate ( func ** kwargs )	contentcmd	( * args ** kwargs ) :    decorator for bot commentary    def decorate ( vmax name = none ) :    setattr ( vmax jabberbot content command true )    setattr ( vmax jabberbot command name name or vmax . name )    return vmax     print ( archive )  if len ( args ) : if false : mass = 1 print ( colors )  return decorate ( args [ 0 ] ** kwargs )  print ( postgis )  else : return lambda vmax : decorate ( vmax ** kwargs )   
1063	( self ) : self . request = request factory ( ) . get ( / ) self . request . session = session store ( ) self . request . user = user ( id = 1 ) self . vg = voucher group . objects . create ( name = xmas creator = self . request . user ) self . v1 = voucher . objects . create ( number = aaaa group = self . vg creator = self . request . user start date = datetime . date ( 2009 12 1 ) end date = datetime . date ( 2009 12 31 ) effective from = 0 kind of = absolute value = 10.0 limit = 2 ) self . p1 = product . objects . create ( name = product 1 slug = product-1 price = 10.0 active = true ) self . p2 = product . objects . create ( name = product 2 slug = product-2 price = 100.0 active = true ) self . cart = cart . objects . create ( ) cart item . objects . create ( cart = self . cart product = self . p1 amount = 1 ) cart item . objects . create ( cart = self . cart product = self . p2 amount = 1 )	set up	( self ) :       self . request = request factory ( ) . get ( / )    self . request . session = session store ( )   if false : tools = 1 self . request . user = user ( id = 1 )    self . vg = voucher group . objects . create ( name = xmas creator = self . request . user )  print ( ratio ) if false : fileobject = 1 self . v1 = voucher . objects . create ( number = aaaa group = self . vg creator = self . request . user start date = datetime . date ( 2009 12 1 ) end date = datetime . date ( 2009 12 31 ) effective from = 0 kind of = absolute value = 10.0 limit = 2 )    self . p1 = product . objects . create ( name = product 1 slug = product-1 price = 10.0 active = true )    self . p2 = product . objects . create ( name = product 2 slug = product-2 price = 100.0 active = true )  print ( login )  self . cart = cart . objects . create ( )    cart item . objects . create ( cart = self . cart product = self . p1 amount = 1 ) if false : faults = 1   cart item . objects . create ( cart = self . cart product = self . p2 amount = 1 )   
1072	( self in coeffs in data cache dictionary ) : x in = in data cache dictionary [ x ] a = in coeffs [ 0 ] b = in coeffs [ 1 ] c = in coeffs [ 2 ] d = in coeffs [ 3 ] try : temp = a * numpy . exp ( - 1.0 * x in + b + c - c * d * numpy . exp ( - 1.0 * ( ( x in + c * numpy . log ( d ) - b ) / c ) ) / ( c * d ) ) return self . extended version handler . get additional model predictions ( temp in coeffs in data cache dictionary self ) except : return numpy . ones ( len ( in data cache dictionary [ dependent data ] ) ) * 1e+300	calculate model predictions	( self tle in data cache dictionary ) :   if false : internals = 1 x in = in data cache dictionary [ x ]    a = tle [ 0 ]    b = tle [ 1 ] if false : rospy = 1  if false : dbconn = 1 c = tle [ 2 ]    d = tle [ 3 ]   if false : redir = 1 try :    temp = a * numpy . exp ( - 1.0 * x in + b + c - c * d * numpy . exp ( - 1.0 * ( ( x in + c * numpy . log ( d ) - b ) / c ) ) / ( c * d ) )    return self . extended version handler . get additional model predictions ( temp tle in data cache dictionary self )    except : return numpy . ones ( len ( in data cache dictionary [ dependent data ] ) ) * 1e+300   
1074	( self a b ) : return self . send operation ( add a b )	add	( self scaffold tear ) : if false : flakes = 1   return self . send operation ( add scaffold tear ) if false : jcli = 1  if false : initialized = 1
1080	( self exception ) : create a fault for the given webob.exc.exception. self . wrapped exc = exception for key value in self . wrapped exc . headers . items ( ) : self . wrapped exc . headers [ key ] = str ( value ) self . status int = exception . status int	init	( self qisrc ) :    create a fault for the given webob.exc.exception.    self . homogeneity = qisrc if false : lwrite = 1   for key value in self . homogeneity . headers . items ( ) :    self . homogeneity . headers [ key ] = str ( value ) if false : gets = 1      self . status int = qisrc . status int if false : flakes = 1  
1081	( self ) : self . pulse = true self . enabled = true	init	( self ) :  print ( avail )  self . coeffs = true if false : homogeneity = 1 print ( flakes )  self . enabled = true  print ( nativefunc ) 
1093	( self * args ** kwargs ) : super ( app self ) . init ( * args ** kwargs )	init	( self * args ** strs ) : if false : returns = 1 print ( gets )  super ( app self ) . init ( * args ** strs )  print ( avail ) if false : int32 = 1
1094	( self ) : simple strings with a tcp: prefix should be parsed as tcp. self . assert equal ( self . parse ( tcp:80 self . f ) ( tcp ( 80 self . f ) { interface : backlog : 50 } ) )	test simpletcp	( self ) : if false : rdt = 1  if false : formfield = 1 simple strings with a tcp: prefix should be parsed as tcp. if false : remove = 1   self . assert equal ( self . parse ( tcp:80 self . f ) ( tcp ( 80 self . f ) { interface : backlog : 50 } ) ) if false : res0 = 1 print ( lwrite ) 
1095	( self args ) : return self . screen . colorstr ( args )	colorstr	( self policy ) :   if false : temppath = 1 return self . screen . colorstr ( policy ) if false : strs = 1 print ( parsexml ) if false : lwrite = 1
1119	( self ) : self . stream . feed ( \x1b[a\x1b[b\x1b[c\x1b[d ) self . assert equal ( len ( self . processor . keys ) 4 ) self . assert equal ( self . processor . keys [ 0 ] . key keys . up ) self . assert equal ( self . processor . keys [ 1 ] . key keys . down ) self . assert equal ( self . processor . keys [ 2 ] . key keys . right ) self . assert equal ( self . processor . keys [ 3 ] . key keys . left ) self . assert equal ( self . processor . keys [ 0 ] . data \x1b[a ) self . assert equal ( self . processor . keys [ 1 ] . data \x1b[b ) self . assert equal ( self . processor . keys [ 2 ] . data \x1b[c ) self . assert equal ( self . processor . keys [ 3 ] . data \x1b[d )	test arrows	( self ) :    self . nea . feed ( \x1b[a\x1b[b\x1b[c\x1b[d )    self . assert equal ( len ( self . processor . keys ) 4 )    self . assert equal ( self . processor . keys [ 0 ] . key keys . up )    self . assert equal ( self . processor . keys [ 1 ] . key keys . down )    self . assert equal ( self . processor . keys [ 2 ] . key keys . right )   if false : genetic = 1 self . assert equal ( self . processor . keys [ 3 ] . key keys . left )  print ( texts ) if false : btn = 1 self . assert equal ( self . processor . keys [ 0 ] . data \x1b[a )    self . assert equal ( self . processor . keys [ 1 ] . data \x1b[b )    self . assert equal ( self . processor . keys [ 2 ] . data \x1b[c )    self . assert equal ( self . processor . keys [ 3 ] . data \x1b[d )  print ( suffix ) 
1143	( self ) : granting moderator privileges sends request to set role to moderator. nick = trouble maker d = self . protocol . grant moderator ( self . room jid nick sender = self . user jid ) iq = self . stub . output [ - 1 ] query = ( /iq[@type=set and @to=%s]/query/item[@role=moderator] % self . room jid ) self . assert true ( xpath . matches ( query iq ) wrong voice stanza ) response = to response ( iq result ) self . stub . send ( response ) return d	test grantmoderator	( self ) : if false : simulate = 1   granting moderator privileges sends request to set role to moderator.  print ( incy )  nick = trouble maker if false : lister = 1   d = self . protocol . grant moderator ( self . room jid nick sender = self . user jid )  print ( girder )  iq = self . stub . output [ - 1 ]    query = ( /iq[@type=set and @to=%s]/query/item[@role=moderator] % self . room jid )    self . assert true ( xpath . matches ( query iq ) wrong voice stanza )    response = to response ( iq result )    self . stub . send ( response )   if false : clr = 1 return d   
1146	( kernel ) : result = intangible ( ) result . template = ( object/draft schematic/clothing/shared clothing vest formal 15.iff ) result . attribute template id = - 1 result . stf name ( string id table ) return result	create	( lwrite ) :    strs = intangible ( )    strs . template = ( object/draft schematic/clothing/shared clothing vest formal 15.iff )  print ( int32 ) if false : homogeneity = 1 strs . attribute template id = - 1 if false : converts = 1   strs . stf name ( string id table )    return strs   
